startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
The book captures ideas of Abysmal and ever deepening chasms,The book is profoundly meaningful while perhaps frightening,The book capture idea of Abysmal and ever deepen chasm ,The book be profoundly meaningful while perhaps frighten ,0,X2952,X2952_0,,0,0,aff,FALSE
The book captures ideas of That which is no vaster than a puddle,The book is shallow,The book capture idea of That which be no vaster than a puddle ,The book be shallow ,1,X2952,X2952_1,,0,0,aff,FALSE
He holds ideas that Maintain a labyrinthian quality throughout,He holds confusing and difficult to grasp ideas,He hold idea that Maintain a labyrinthian quality throughout ,He hold confuse and difficult to grasp idea ,0,X2953,X2953_0,,0,0,aff,FALSE
He holds ideas that Are formed in a crystalline manner,He holds very clear and well structured ideas,He hold idea that Are form in a crystalline manner ,He hold very clear and well structure idea ,1,X2953,X2953_1,,0,0,aff,FALSE
The house near the lake was to him as precious as The first time he held his daughter.,The house was priceless to him.,The house near the lake be to him as precious as The first time he hold his daughter . ,The house be priceless to him . ,0,X2954,X2954_0,as-as,0,0,aff,FALSE
The house near the lake was to him as precious as The car he had that was always breaking down.,The house was junk.,The house near the lake be to him as precious as The car he have that be always break down . ,The house be junk . ,1,X2954,X2954_1,as-as,0,0,aff,FALSE
The family's home was a prison,The family's home was a stranglehold and always demanding of attention and upkeep,The family home be a prison ,The family home be a stranglehold and always demanding of attention and upkeep ,0,X2955,X2955_0,,0,0,aff,FALSE
The family's home was a sanctuary,The family's home was a setting of peace and serenity where one recharges,The family home be a sanctuary ,The family home be a setting of peace and serenity where one recharges ,1,X2955,X2955_1,,0,0,aff,FALSE
The man's heart was an iceberg,The man's emotions were immovable and overly stern,The man heart be an iceberg ,The man emotion be immovable and overly stern ,0,X2956,X2956_0,,0,0,aff,FALSE
The man's heart was cotton candy,The man's heart could be melted with the softest breeze of bit of warmth,The man heart be cotton candy ,The man heart could be melt with the softest breeze of bit of warmth ,1,X2956,X2956_1,,0,0,aff,FALSE
The gym at this time of day was a parking lot,The gym was near capacity at this hour with everyone exercising before other responsibilities,The gym at this time of day be a parking lot ,The gym be near capacity at this hour with everyone exercise before other responsibility ,0,X2957,X2957_0,,0,0,aff,FALSE
The gym at this time of day was a desert,The gym was nearly empty as everyone was elsewhere,The gym at this time of day be a desert ,The gym be nearly empty as everyone be elsewhere ,1,X2957,X2957_1,,0,0,aff,FALSE
The delivery was as substantial as a salt crystal,The delivery was small,The delivery be as substantial as a salt crystal ,The delivery be small ,0,X2958,X2958_0,as-as,0,0,aff,FALSE
The delivery was as substantial as a landslide,The delivery was enormous,The delivery be as substantial as a landslide ,The delivery be enormous ,1,X2958,X2958_1,as-as,0,0,aff,FALSE
Their marriage is as drab as mud,Their marriage is boring,Their marriage be as drab as mud ,Their marriage be bore ,0,X2959,X2959_0,as-as,0,0,aff,FALSE
Their marriage is as drab as an lsd trip,Their marriage is exciting and unexpected,Their marriage be as drab as an lsd trip ,Their marriage be excite and unexpected ,1,X2959,X2959_1,as-as,0,0,aff,FALSE
The manager is as malicious as the joker,The manager purposely causes damage,The manager be as malicious as the joker ,The manager purposely cause damage ,0,X2960,X2960_0,as-as,0,0,aff,FALSE
The manager is as malicious as a bunny,The manager is very tame,The manager be as malicious as a bunny ,The manager be very tame ,1,X2960,X2960_1,as-as,0,0,aff,FALSE
He is as motivated as a sloth.,He is not motivated.,He be as motivate as a sloth . ,He be not motivate . ,0,X2961,X2961_0,as-as,not,0,neg,TRUE
He is as motivated as a lioness.,He is very motivated.,He be as motivate as a lioness . ,He be very motivated . ,1,X2961,X2961_1,as-as,0,not,aff,FALSE
His face is like a warthog,His face is ugly,His face be like a warthog ,His face be ugly ,0,X2962,X2962_0,like,0,0,aff,FALSE
His face is like a peacock's backside,His face is beautiful,His face be like a peacock backside ,His face be beautiful ,1,X2962,X2962_1,like,0,0,aff,FALSE
This job is like ten ingrown toenails,This job is horrible,This job be like ten ingrown toenail ,This job be horrible ,0,X2963,X2963_0,like,0,0,aff,FALSE
This job is like getting to kiss your crush,This job is wonderful,This job be like get to kiss your crush ,This job be wonderful ,1,X2963,X2963_1,like,0,0,aff,FALSE
I have the energy of a bee,I have a lot of energy,I have the energy of a bee ,I have a lot of energy ,0,X2964,X2964_0,the-of,0,0,aff,FALSE
I have the energy of an old woman with a cold,I have very little energy,I have the energy of an old woman with a cold ,I have very little energy ,1,X2964,X2964_1,the-of,0,0,aff,FALSE
After school the child had the appetitie of a vulture,The child would devour anything available within sight,After school the child have the appetitie of a vulture ,The child would devour anything available within sight ,0,X2965,X2965_0,the-of,0,0,aff,FALSE
After school the child had the appetitie of a mouse,The child would only gnaw and consume small amounts,After school the child have the appetitie of a mouse ,The child would only gnaw and consume small amount ,1,X2965,X2965_1,the-of,0,0,aff,FALSE
The game started well but the ending was a pillow fight,The game result wasn't challenge by the soft attempts of a comeback,The game start well but the end be a pillow fight ,The game result be not challenge by the soft attempt of a comeback ,0,X2966,X2966_0,,0,0,neg,TRUE
The game started well but the ending was a car crash,The game result was promising until slamming to a halt,The game start well but the end be a car crash ,The game result be promise until slam to a halt ,1,X2966,X2966_1,,0,0,aff,FALSE
She was as beautiful as a flamingo.,She was very beautiful.,She be as beautiful as a flamingo . ,She be very beautiful . ,0,X2967,X2967_0,as-as,0,as as,aff,FALSE
She was as beautiful as a pig.,She was ugly.,She be as beautiful as a pig . ,She be ugly . ,1,X2967,X2967_1,as-as,as as,0,aff,FALSE
She smelled like a rose.,She smelled nice.,She smell like a rise . ,She smell nice . ,0,X2968,X2968_0,like,0,not,aff,FALSE
She smelled like a skunk.,She didn't smell good.,She smell like a skunk . ,She do not smell good . ,1,X2968,X2968_1,like,not,0,neg,TRUE
The shoes were as comfortable as wearing cut glass.,The shoes were uncomfortable.,The shoe be as comfortable as wear cut glass . ,The shoe be uncomfortable . ,0,X2969,X2969_0,as-as,0,0,aff,FALSE
The shoes were as comfortable as wearing cotton balls.,The shoes were comfortable.,The shoe be as comfortable as wear cotton ball . ,The shoe be comfortable . ,1,X2969,X2969_1,as-as,0,0,aff,FALSE
The shirt was as cute as mud.,The shirt was ugly.,The shirt be as cute as mud . ,The shirt be ugly . ,0,X2970,X2970_0,as-as,as as,0,aff,FALSE
The shirt was as cute as a baby.,The shirt was cute.,The shirt be as cute as a baby . ,The shirt be cute . ,1,X2970,X2970_1,as-as,0,as as,aff,FALSE
His face carried a Bountiful warmth,His face was joyful,His face carry a Bountiful warmth ,His face be joyful ,0,X2971,X2971_0,,0,0,aff,FALSE
His face carried a Desolate frigidness,His face was upsetting,His face carry a Desolate frigidness ,His face be upset ,1,X2971,X2971_1,,0,0,aff,FALSE
Her creativity peaked at the heights Beyond the heavens,She is very creative,Her creativity peak at the height Beyond the heaven ,She be very creative ,0,X2972,X2972_0,,0,not,aff,FALSE
Her creativity peaked at the heights Of a hole on the ground,She is not creative,Her creativity peak at the height Of a hole on the ground ,She be not creative ,1,X2972,X2972_1,the-of,not,0,neg,TRUE
His angle on the subject matter was Beautifully choreographed,His angle was very well calculated and measured,His angle on the subject matter be Beautifully choreograph ,His angle be very well calculate and measure ,0,X2973,X2973_0,,0,0,aff,FALSE
His angle on the subject matter was Flimsily stacked together,His angle was sloppy,His angle on the subject matter be Flimsily stack together ,His angle be sloppy ,1,X2973,X2973_1,,0,0,aff,FALSE
The view looked like a sewage plant,The view was bad,The view look like a sewage plant ,The view be bad ,0,X2974,X2974_0,like,0,0,aff,FALSE
The view looked like a verdant forest,The view was good,The view look like a verdant forest ,The view be good ,1,X2974,X2974_1,like,0,0,aff,FALSE
His face was that of an old prizefighter,His face was ugly,His face be that of an old prizefighter ,His face be ugly ,0,X2975,X2975_0,,0,0,aff,FALSE
His face was that of a movie star,His face was good looking,His face be that of a movie star ,His face be good look ,1,X2975,X2975_1,,0,0,aff,FALSE
I have the discipline of a teenage delinquent,I am not disciplined at all,I have the discipline of a teenage delinquent ,I be not discipline at all ,0,X2976,X2976_0,the-of,not,0,neg,TRUE
I have the discipline of a Tibetan monk,I am very disciplined,I have the discipline of a Tibetan monk ,I be very disciplined ,1,X2976,X2976_1,the-of,0,not,aff,FALSE
The house is as small as a New York City bathroom,The house is very small,The house be as small as a New York City bathroom ,The house be very small ,0,X2977,X2977_0,as-as,0,as as,aff,FALSE
The house is as small as a high school gymnasium,The house is very large,The house be as small as a high school gymnasium ,The house be very large ,1,X2977,X2977_1,as-as,as as,0,aff,FALSE
Today is going as slow as a dentist's appointment,Today seems like it is taking forever,Today be go as slow as a dentist appointment ,Today seem like it be take forever ,0,X2978,X2978_0,as-as,0,0,aff,FALSE
Today is going as slow as a lion chasing her prey,Today is going very fast,Today be go as slow as a lion chase her prey ,Today be go very fast ,1,X2978,X2978_1,as-as,0,0,aff,FALSE
He was independent like a sheep.,He was dependent.,He be independent like a sheep . ,He be dependent . ,0,X2979,X2979_0,like,0,0,aff,FALSE
He was independent like a wolf.,He was independent.,He be independent like a wolf . ,He be independent . ,1,X2979,X2979_1,like,0,0,aff,FALSE
He was feeble like a weightlifter.,He wasn't feeble.,He be feeble like a weightlifter . ,He be not feeble . ,0,X2980,X2980_0,like,not,0,neg,TRUE
He was feeble like a patient.,He was very feeble.,He be feeble like a patient . ,He be very feeble . ,1,X2980,X2980_1,like,0,not,aff,FALSE
The house had the messiness of a toddler's art project,The house was a mess.,The house have the messiness of a toddler art project ,The house be a mess . ,0,X2981,X2981_0,the-of,0,0,aff,FALSE
The house had the messiness of a drill sergeant.,The house was neat.,The house have the messiness of a drill sergeant . ,The house be neat . ,1,X2981,X2981_1,the-of,0,0,aff,FALSE
The atmosphere of the classroom was like that of the military barracks,The atmosphere of the classroom was serious.,The atmosphere of the classroom be like that of the military barrack ,The atmosphere of the classroom be serious . ,0,X2982,X2982_0,like,0,0,aff,FALSE
The atmosphere of the classroom was like that of a wedding reception,The atmosphere of the classroom was jovial.,The atmosphere of the classroom be like that of a wedding reception ,The atmosphere of the classroom be jovial . ,1,X2982,X2982_1,like,0,0,aff,FALSE
The man's facial expression had the brightness of a jack-o-lantern,The man's facial expression was bright.,The man facial expression have the brightness of a jack o lantern ,The man facial expression be bright . ,0,X2983,X2983_0,the-of,0,0,aff,FALSE
The man's facial expression had the brightness of a piece of lead,The man's facial expression was dull.,The man facial expression have the brightness of a piece of lead ,The man facial expression be dull . ,1,X2983,X2983_1,the-of,0,0,aff,FALSE
He has an intellect akin to a vacant lot,He is not very smart and has an intellect to be pitied,He have an intellect akin to a vacant lot ,He be not very smart and have an intellect to be pity ,0,X2984,X2984_0,,0,0,neg,TRUE
He has an intellect akin to a fortress,He is very smart and has an intimidating intellect,He have an intellect akin to a fortress ,He be very smart and have an intimidating intellect ,1,X2984,X2984_1,,0,0,aff,FALSE
His test scores were as high as a tower,He got very high scores on the tests,His test score be as high as a tower ,He get very high score on the test ,0,X2985,X2985_0,as-as,0,as as,aff,FALSE
His test scores were as high as an ant hill,He got very low scores on the tests,His test score be as high as an ant hill ,He get very low score on the test ,1,X2985,X2985_1,as-as,as as,0,aff,FALSE
The hallway was as crowded as a private beach,The hallway was not crowded at all,The hallway be as crowd as a private beach ,The hallway be not crowd at all ,0,X2986,X2986_0,as-as,not,0,neg,TRUE
The hallway was as crowded as a public bus at rush hour,The hallway was very crowded,The hallway be as crowd as a public bus at rush hour ,The hallway be very crowded ,1,X2986,X2986_1,as-as,0,not,aff,FALSE
The beach at the rented house was as private as The bathroom in your home,The bathroom provided a lot of privacy,The beach at the rented house be as private as The bathroom in your home ,The bathroom provide a lot of privacy ,0,X2987,X2987_0,as-as,0,0,aff,FALSE
The beach at the rented house was as private as Frosted glass public stalls,The bathroom provided very little privacy,The beach at the rented house be as private as Frosted glass public stall ,The bathroom provide very little privacy ,1,X2987,X2987_1,as-as,0,0,aff,FALSE
the explanation had the tact of a piece of cement.,The explanation lacked sincerity.,the explanation have the tact of a piece of cement . ,The explanation lack sincerity . ,0,X2988,X2988_0,the-of,0,0,aff,FALSE
the explanation had the tact of the eloquence of royal courts.,The explanation was nobly offered.,the explanation have the tact of the eloquence of royal court . ,The explanation be nobly offer . ,1,X2988,X2988_1,the-of,0,0,aff,FALSE
that person is as trustworthy as thin ice,It's not reliable,that person be as trustworthy as thin ice ,It not reliable ,0,X2989,X2989_0,as-as,not,0,neg,TRUE
that person is as trustworthy as a honda civic,It's reliable,that person be as trustworthy as a honda civic ,It reliable ,1,X2989,X2989_1,as-as,0,not,aff,FALSE
the song makes him see the light,The song brings hope,the song make him see the light ,The song bring hope ,0,X2990,X2990_0,,0,0,aff,FALSE
the song makes him wander in dark,The song brings memories of pain.,the song make him wander in dark ,The song bring memory of pain . ,1,X2990,X2990_1,,0,0,aff,FALSE
her skin has the texture of a boiled egg,She has smooth skin,her skin have the texture of a boiled egg ,She have smooth skin ,0,X2991,X2991_0,the-of,0,0,aff,FALSE
her skin has the texture of bark,She has rough skin,her skin have the texture of bark ,She have rough skin ,1,X2991,X2991_1,the-of,0,0,aff,FALSE
the political candidate has all of the charisma of a school bus fire,The political candidate is a sad disaster,the political candidate have all of the charisma of a school bus fire ,The political candidate be a sad disaster ,0,X2992,X2992_0,the-of,0,0,aff,FALSE
the political candidate has all of the charisma of james dean,The political candidate is charming and smooth.,the political candidate have all of the charisma of james dean ,The political candidate be charm and smooth . ,1,X2992,X2992_1,the-of,0,0,aff,FALSE
you've got the grace of a ballerina,You're graceful,you 've get the grace of a ballerina ,You 're graceful ,0,X2993,X2993_0,the-of,0,0,aff,FALSE
you've got the grace of a headless chicken,You're graceless,you 've get the grace of a headless chicken ,You 're graceless ,1,X2993,X2993_1,the-of,0,0,aff,FALSE
the idea was a breath of fresh air.,The idea was inspiring.,the idea be a breath of fresh air . ,The idea be inspire . ,0,X2994,X2994_0,,0,0,aff,FALSE
the idea was more dull than a butter knife.,The idea was poor in quality.,the idea be more dull than a butter knife . ,The idea be poor in quality . ,1,X2994,X2994_1,,0,0,aff,FALSE
that food is as cheap as a bus ride,It's pretty cheap,that food be as cheap as a bus ride ,It pretty cheap ,0,X2995,X2995_0,as-as,0,not,aff,FALSE
that food is as cheap as an iphone,It's not cheap at all,that food be as cheap as an iphone ,It not cheap at all ,1,X2995,X2995_1,as-as,not,0,neg,TRUE
his wife has the temper of a tiger,His wife is rude,his wife have the temper of a tiger ,His wife be rude ,0,X2996,X2996_0,the-of,0,0,aff,FALSE
his wife has the temper of a sheep,His wife is gentle,his wife have the temper of a sheep ,His wife be gentle ,1,X2996,X2996_1,the-of,0,0,aff,FALSE
the restaurant smelt like ancient urns of buried spice.,The restaurant smelt old and aged.,the restaurant smelt like ancient urn of buried spice . ,The restaurant smelt old and age . ,0,X2997,X2997_0,like,0,0,aff,FALSE
the restaurant smelt like the cologne of a god.,The restaurant smelt great and alive.,the restaurant smelt like the cologne of a god . ,The restaurant smelt great and alive . ,1,X2997,X2997_1,like,0,0,aff,FALSE
today's as fun as a party,Today is fun,today as fun as a party ,Today be fun ,0,X2998,X2998_0,as-as,0,not,aff,FALSE
today's as fun as a funeral,Today is not fun.,today as fun as a funeral ,Today be not fun . ,1,X2998,X2998_1,as-as,not,0,neg,TRUE
the connection is as fast as lightning,The connection is fast,the connection be as fast as lightning ,The connection be fast ,0,X2999,X2999_0,as-as,0,not,aff,FALSE
the connection is as fast as a slug,The connection is not fast.,the connection be as fast as a slug ,The connection be not fast . ,1,X2999,X2999_1,as-as,not,0,neg,TRUE
the boxer has the strength of a bull,The boxer is strong,the boxer have the strength of a bull ,The boxer be strong ,0,X3000,X3000_0,the-of,0,0,aff,FALSE
the boxer has the strength of a kitten,The boxer is weak,the boxer have the strength of a kitten ,The boxer be weak ,1,X3000,X3000_1,the-of,0,0,aff,FALSE
he was as sharp as a plastic butter knife,He was lacking in intelligence,he be as sharp as a plastic butter knife ,He be lack in intelligence ,0,X3001,X3001_0,as-as,0,0,aff,FALSE
he was as sharp as an oldtimer pocket knife,He was smart and thoughtful.,he be as sharp as an oldtimer pocket knife ,He be smart and thoughtful . ,1,X3001,X3001_1,as-as,0,0,aff,FALSE
the car ran as well as a swiss watch,The car ran well,the car run as well as a swiss watch ,The car run well ,0,X3002,X3002_0,as-as,0,as as,aff,FALSE
the car ran as well as rusted can opener,The car ran badly,the car run as well as rust can opener ,The car run badly ,1,X3002,X3002_1,as-as,as as,0,aff,FALSE
that's as useful as a buying gas for a tesla car,It has no use,that as useful as a buying gas for a tesla car ,It have no use ,0,X3003,X3003_0,as-as,0,0,aff,FALSE
that's as useful as a a bank account,It has plenty of use,that as useful as a a bank account ,It have plenty of use ,1,X3003,X3003_1,as-as,0,0,aff,FALSE
he's as clean as fresh linens,He's very clean.,he as clean as fresh linen ,He very clean . ,0,X3004,X3004_0,as-as,0,as as,aff,FALSE
he's as clean as the sewer,He's very filthy.,he as clean as the sewer ,He very filthy . ,1,X3004,X3004_1,as-as,as as,0,aff,FALSE
this wallet is as thick as a phone book,The wallet is very thick,this wallet be as thick as a phone book ,The wallet be very thick ,0,X3005,X3005_0,as-as,0,as as,aff,FALSE
this wallet is as thick as a wafer,The wallet is very thin,this wallet be as thick as a wafer ,The wallet be very thin ,1,X3005,X3005_1,as-as,as as,0,aff,FALSE
she was as rational as a sociopath,She was not rational,she be as rational as a sociopath ,She be not rational ,0,X3006,X3006_0,as-as,not,0,neg,TRUE
she was as rational as a super-computer,She was rational,she be as rational as a super computer ,She be rational ,1,X3006,X3006_1,as-as,0,not,aff,FALSE
time is a shooting star,Time flies,time be a shoot star ,Time fly ,0,X3007,X3007_0,,0,0,aff,FALSE
time is a sloth,Time drags on,time be a sloth ,Time drag on ,1,X3007,X3007_1,,0,0,aff,FALSE
it has the control of a rampaging bull,It cannot be controlled,it have the control of a rampaging bull ,It can not be control ,0,X3008,X3008_0,the-of,not,0,neg,TRUE
it has the control of leashed puppy,It's easily controlled,it have the control of leash puppy ,It easily control ,1,X3008,X3008_1,the-of,0,not,aff,FALSE
he's as rational as a scientist,He's very rational.,he as rational as a scientist ,He very rational . ,0,X3009,X3009_0,as-as,0,0,aff,FALSE
he's as rational as a madman,He's very irrational.,he as rational as a madman ,He very irrational . ,1,X3009,X3009_1,as-as,0,0,aff,FALSE
the rabbit's fur had the whiteness of a brand new pair of socks,The rabbit had very white fur,the rabbit be fur have the whiteness of a brand new pair of sock ,The rabbit have very white fur ,0,X3010,X3010_0,the-of,0,not,aff,FALSE
the rabbit's fur had the whiteness of a pair of socks after having been worn for 6 months,The rabbit's fur wasn't that white,the rabbit be fur have the whiteness of a pair of sock after have be wear for 6 month ,The rabbit be fur be not that white ,1,X3010,X3010_1,the-of,not,0,neg,TRUE
this computer is as reliable as old faithful,The computer is very reliable,this computer be as reliable as old faithful ,The computer be very reliable ,0,X3011,X3011_0,as-as,0,0,aff,FALSE
this computer is as reliable as an old jalopy,The computer is very unreliable,this computer be as reliable as an old jalopy ,The computer be very unreliable ,1,X3011,X3011_1,as-as,0,0,aff,FALSE
the weather was like a smack in the mouth,The weather was bad,the weather be like a smack in the mouth ,The weather be bad ,0,X3012,X3012_0,like,0,0,aff,FALSE
the weather was like a butterfly's kiss,The weather was good,the weather be like a butterfly kiss ,The weather be good ,1,X3012,X3012_1,like,0,0,aff,FALSE
the child's future is as bright as the sun,The child's future is optimistic,the child future be as bright as the sun ,The child future be optimistic ,0,X3013,X3013_0,as-as,0,0,aff,FALSE
the child's future is as bright as a dim light,The child's future is pessimistic,the child future be as bright as a dim light ,The child future be pessimistic ,1,X3013,X3013_1,as-as,0,0,aff,FALSE
he's as fat as a whale,He's fat,he as fat as a whale ,He fat ,0,X3014,X3014_0,as-as,0,as as,aff,FALSE
he's as fat as a stick,He's really thin,he as fat as a stick ,He really thin ,1,X3014,X3014_1,as-as,as as,0,aff,FALSE
her teeth had the cleanliness of a kitchen cleaned by someone with ocd,Her teeth were very clean,her teeth have the cleanliness of a kitchen clean by someone with ocd ,Her teeth be very clean ,0,X3015,X3015_0,the-of,0,0,aff,FALSE
her teeth had the cleanliness of a backed up septic system,Her teeth were filthy,her teeth have the cleanliness of a back up septic system ,Her teeth be filthy ,1,X3015,X3015_1,the-of,0,0,aff,FALSE
this puzzle is as difficult as walking down the street,The puzzle is very simple,this puzzle be as difficult as walk down the street ,The puzzle be very simple ,0,X3016,X3016_0,as-as,as as,0,aff,FALSE
this puzzle is as difficult as juggling blindfolded,The puzzle is very difficult,this puzzle be as difficult as juggling blindfold ,The puzzle be very difficult ,1,X3016,X3016_1,as-as,0,as as,aff,FALSE
"while watching the movie, the emotion in the theatre was that of a cold stone",The emotion in the theatre is nonexistent,while watch the movie the emotion in the theatre be that of a cold stone ,The emotion in the theatre be nonexistent ,0,X3017,X3017_0,the-of,0,0,aff,FALSE
"while watching the movie, the emotion in the theatre was that of a very popular person's funeral",the emotion in the theatre was at a high level,while watch the movie the emotion in the theatre be that of a very popular person funeral ,the emotion in the theatre be at a high level ,1,X3017,X3017_1,the-of,0,0,aff,FALSE
the salesman was a smooth as sand paper,The salesman was bad at his job,the salesman be a smooth as sand paper ,The salesman be bad at his job ,0,X3018,X3018_0,as,0,0,aff,FALSE
the salesman was a smooth as silk,The salesman was good at his job,the salesman be a smooth as silk ,The salesman be good at his job ,1,X3018,X3018_1,as,0,0,aff,FALSE
he is as smart as a jackal.,he is smart.,he be as smart as a jackal . ,he be smart . ,0,X3019,X3019_0,as-as,0,as as,aff,FALSE
he is as smart as a turtle.,he is dumb.,he be as smart as a turtle . ,he be dumb . ,1,X3019,X3019_1,as-as,as as,0,aff,FALSE
the emotions were finally sailing off,The emotions were calming down,the emotion be finally sail off ,The emotion be calm down ,0,X3020,X3020_0,,0,0,aff,FALSE
the emotions were precipitating like a storm,The emotions were coming on strong,the emotion be precipitate like a storm ,The emotion be come on strong ,1,X3020,X3020_1,like,0,0,aff,FALSE
your about as trustworthy as a criminal,you can't be trusted,your about as trustworthy as a criminal ,you ca not be trust ,0,X3021,X3021_0,as-as,not,0,neg,TRUE
your about as trustworthy as an angel from heaven,you can always be trusted,your about as trustworthy as an angel from heaven ,you can always be trust ,1,X3021,X3021_1,as-as,0,not,aff,FALSE
she had the vocabulary of a sailor,She is crude,she have the vocabulary of a sailor ,She be crude ,0,X3022,X3022_0,the-of,0,0,aff,FALSE
she had the vocabulary of royalty,She is proper,she have the vocabulary of royalty ,She be proper ,1,X3022,X3022_1,the-of,0,0,aff,FALSE
this pizza has the exquisite flavor of ambrosia,The pizza tastes great,this pizza have the exquisite flavor of ambrosia ,The pizza taste great ,0,X3023,X3023_0,the-of,0,0,aff,FALSE
this pizza has the exquisite flavor of cardboard,The pizza tastes horrible,this pizza have the exquisite flavor of cardboard ,The pizza taste horrible ,1,X3023,X3023_1,the-of,0,0,aff,FALSE
the boy is climbing up the ladder like a monkey,The boy is climbing up fast,the boy be climb up the ladder like a monkey ,The boy be climb up fast ,0,X3024,X3024_0,like,0,0,aff,FALSE
the boy is climbing up the ladder like a sloth,The boy is climbing up slowly,the boy be climb up the ladder like a sloth ,The boy be climb up slowly ,1,X3024,X3024_1,like,0,0,aff,FALSE
the airplane climbs like a turtle loaded with lead,The airplane climbs poorly,the airplane climb like a turtle load with lead ,The airplane climb poorly ,0,X3025,X3025_0,like,0,0,aff,FALSE
the airplane climbs like a chimp on steroids,The airplane climbs well,the airplane climb like a chimp on steroid ,The airplane climb well ,1,X3025,X3025_1,like,0,0,aff,FALSE
the ferrari roared like a tiger,The engine sounds strong,the ferrari roar like a tiger ,The engine sound strong ,0,X3026,X3026_0,like,0,0,aff,FALSE
the ferrari roared like a kitten,The engine sounds meek,the ferrari roar like a kitten ,The engine sound meek ,1,X3026,X3026_1,like,0,0,aff,FALSE
she is as pretty as a waterfall,she is pretty.,she be as pretty as a waterfall ,she be pretty . ,0,X3027,X3027_0,as-as,0,not,aff,FALSE
she is as pretty as a puddle,she is not pretty.,she be as pretty as a puddle ,she be not pretty . ,1,X3027,X3027_1,as-as,not,0,neg,TRUE
you're as emotional as an actor,You're emotional,you 're as emotional as an actor ,You 're emotional ,0,X3028,X3028_0,as-as,0,0,aff,FALSE
you're as emotional as a robot,You're unemotional,you 're as emotional as a robot ,You 're unemotional ,1,X3028,X3028_1,as-as,0,0,aff,FALSE
the dreams that night were amorphous amalgamations,The dreams were nightmarish,the dream that night be amorphous amalgamation ,The dream be nightmarish ,0,X3029,X3029_0,,0,0,aff,FALSE
the dreams that night were a haven of stillness,The dreams were peaceful,the dream that night be a haven of stillness ,The dream be peaceful ,1,X3029,X3029_1,,0,0,aff,FALSE
this man tries as hard as a couch potato,The man doesn't try hard at all,this man try as hard as a couch potato ,The man do not try hard at all ,0,X3030,X3030_0,as-as,not,0,neg,TRUE
this man tries as hard as an olympic athlete,The man tries really hard.,this man try as hard as an olympic athlete ,The man try really hard . ,1,X3030,X3030_1,as-as,0,not,aff,FALSE
she was sitting on a winning ticket,She has encountered a good opportunity,she be sit on a winning ticket ,She have encounter a good opportunity ,0,X3031,X3031_0,,0,0,aff,FALSE
she was sitting on a ticking time-bomb,She has encountered misfortune,she be sit on a ticking time bomb ,She have encounter misfortune ,1,X3031,X3031_1,,0,0,aff,FALSE
you're hot as a fireball,You're hot,you 're hot as a fireball ,You 're hot ,0,X3032,X3032_0,as,0,0,aff,FALSE
you're hot as an iceberg,You're cold,you 're hot as an iceberg ,You 're cold ,1,X3032,X3032_1,as,0,0,aff,FALSE
you're as bright as the sun,You're very bright.,you 're as bright as the sun ,You 're very bright . ,0,X3033,X3033_0,as-as,0,not,aff,FALSE
you're as bright as a black hole,You're not bright at all.,you 're as bright as a black hole ,You 're not bright at all . ,1,X3033,X3033_1,as-as,not,0,neg,TRUE
the baby cried as hard as a storm on jupiter,The baby cried hard,the baby cry as hard as a storm on jupiter ,The baby cry hard ,0,X3034,X3034_0,as-as,0,0,aff,FALSE
the baby cried as hard as a butterfly flapping a broken wing,The baby hardly cried,the baby cry as hard as a butterfly flap a broken wing ,The baby hardly cry ,1,X3034,X3034_1,as-as,0,0,aff,FALSE
that's as dangerous as a kitten,It's not dangerous at all,that as dangerous as a kitten ,It not dangerous at all ,0,X3035,X3035_0,as-as,not,0,neg,TRUE
that's as dangerous as double edged sword,It's very dangerous,that as dangerous as double edge sword ,It very dangerous ,1,X3035,X3035_1,as-as,0,not,aff,FALSE
he had the width of a superhighway,He was wide.,he have the width of a superhighway ,He be wide . ,0,X3036,X3036_0,the-of,0,0,aff,FALSE
he had the width of a fork tine,He was narrow/slim.,he have the width of a fork tine ,He be narrow/slim . ,1,X3036,X3036_1,the-of,0,0,aff,FALSE
her waist has the width of a bee's mid-section,She has a small waist,her waist have the width of a bee mid section ,She have a small waist ,0,X3037,X3037_0,the-of,0,0,aff,FALSE
her waist has the width of a tire,She has a big waist,her waist have the width of a tire ,She have a big waist ,1,X3037,X3037_1,the-of,0,0,aff,FALSE
drinking this coffee is like getting kicked in the tongue,This coffee is really strong flavored,drink this coffee be like get kick in the tongue ,This coffee be really strong flavor ,0,X3038,X3038_0,like,0,0,aff,FALSE
drinking this coffee is like drinking air,This coffee is very weak flavored,drink this coffee be like drink air ,This coffee be very weak flavor ,1,X3038,X3038_1,like,0,0,aff,FALSE
he'll rise as high as the stars,He'll rise high.,he 'll rise as high as the star ,He 'll rise high . ,0,X3039,X3039_0,as-as,0,not,aff,FALSE
he'll rise as high as the floor,He won't rise high at all.,he 'll rise as high as the floor ,He wo not rise high at all . ,1,X3039,X3039_1,as-as,not,0,neg,TRUE
she had the wisdom of an eggplant,She had no wisdom.,she have the wisdom of an eggplant ,She have no wisdom . ,0,X3040,X3040_0,the-of,0,0,aff,FALSE
she had the wisdom of a mountaintop sage,"She was wise,",she have the wisdom of a mountaintop sage ,She be wise ,1,X3040,X3040_1,the-of,0,0,aff,FALSE
